"","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LotConfig","Neighborhood","Condition1","HouseStyle","OverallQual","OverallCond","YearBuilt","RoofStyle","Exterior1st","MasVnrType","MasVnrArea","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","log.sale.price","log.SalePrice"
"11","20","RL",70,11200,"None","Reg","Inside","Sawyer","Norm","1Story",5,5,1965,"Hip","HdBoard","None",0,"TA","No","Rec",906,134,1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA",0,0,0,0,0,0,0,2,2008,"WD","Normal",129500,11.7714361601217,11.7714361601217
"12","60","RL",85,11924,"None","IR1","Inside","NridgHt","Norm","2Story",9,5,2005,"Hip","Other","Stone",286,"Ex","No","GLQ",998,177,1182,1142,0,2324,1,0,3,0,4,1,"Other",11,"Typ",2,"Gd","BuiltIn","Fin",3,"TA","TA",147,21,0,0,0,0,0,7,2006,"New","Partial",345000,12.7512996960135,12.7512996960135
"13","20","RL",70.0499583680267,12968,"None","IR2","Inside","Sawyer","Norm","1Story",5,6,1962,"Hip","HdBoard","None",0,"TA","No","ALQ",737,175,912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd","Unf",1,"TA","TA",140,0,0,0,176,0,0,9,2008,"WD","Normal",144000,11.8775685785581,11.8775685785581
"14","20","RL",91,10652,"None","IR1","Inside","CollgCr","Norm","1Story",7,5,2006,"Gable","VinylSd","Stone",306,"Gd","Av","Unf",0,1494,1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,"TA","TA",160,33,0,0,0,0,0,8,2007,"New","Partial",279500,12.5407575715773,12.5407575715773
"15","20","RL",70.0499583680267,10920,"None","IR1","Corner","NAmes","Norm","1Story",6,5,1960,"Hip","MetalSd","BrkFace",212,"TA","No","BLQ",733,520,1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd","RFn",1,"TA","TA",0,213,176,0,0,0,0,5,2008,"WD","Normal",157000,11.9640010843304,11.9640010843304
"16","Other","RM",51,6120,"None","Reg","Corner","BrkSide","Norm","Other",7,8,1929,"Gable","Wd Sdng","None",0,"TA","No","Unf",0,832,854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd","Unf",2,"TA","TA",48,112,0,0,0,0,0,7,2007,"WD","Normal",132000,11.7905572015685,11.7905572015685
"17","20","RL",70.0499583680267,11241,"None","IR1","CulDSac","NAmes","Norm","1Story",6,7,1970,"Gable","Wd Sdng","BrkFace",180,"TA","No","ALQ",578,426,1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd","Fin",2,"TA","TA",0,0,0,0,0,0,700,3,2010,"WD","Normal",149000,11.9117015849276,11.9117015849276
"18","90","RL",72,10791,"None","Reg","Inside","Sawyer","Norm","1Story",4,5,1967,"Gable","MetalSd","None",0,"None","None","None",0,0,1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,"None","Other","Unf",2,"TA","TA",0,0,0,0,0,0,500,10,2006,"WD","Normal",90000,11.4075649493124,11.4075649493124
"19","20","RL",66,13695,"None","Reg","Inside","SawyerW","RRAe","1Story",5,5,2004,"Gable","VinylSd","None",0,"TA","No","GLQ",646,468,1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,"None","Detchd","Unf",2,"TA","TA",0,102,0,0,0,0,0,6,2008,"WD","Normal",159000,11.9766594812024,11.9766594812024
"20","20","RL",70,7560,"None","Reg","Inside","NAmes","Norm","1Story",5,6,1958,"Hip","BrkFace","None",0,"TA","No","LwQ",504,525,1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1",0,"None","Attchd","Unf",1,"TA","TA",0,0,0,0,0,0,0,5,2009,"COD","Abnorml",139000,11.8422292121128,11.8422292121128
"21","60","RL",101,14215,"None","IR1","Corner","NridgHt","Norm","2Story",8,5,2005,"Gable","VinylSd","BrkFace",380,"Ex","Av","Unf",0,1158,1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn","RFn",3,"TA","TA",240,154,0,0,0,0,0,11,2006,"New","Partial",325300,12.6925031124614,12.6925031124614
"22","Other","RM",57,7449,"Grvl","Reg","Inside","IDOTRR","Norm","Other",7,7,1930,"Gable","Wd Sdng","None",0,"TA","No","Unf",0,637,1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","Unf",1,"TA","TA",0,0,205,0,0,0,0,6,2007,"WD","Normal",139400,11.8451027773086,11.8451027773086
"23","20","RL",75,9742,"None","Reg","Inside","CollgCr","Norm","1Story",8,5,2002,"Hip","VinylSd","BrkFace",281,"Gd","No","Unf",0,1777,1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA",171,159,0,0,0,0,0,9,2008,"WD","Normal",230000,12.3458345879053,12.3458345879053
"24","120","RM",44,4224,"None","Reg","Inside","Other","Norm","1Story",5,7,1976,"Gable","CemntBd","None",0,"Gd","No","GLQ",840,200,1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","Unf",2,"TA","TA",100,110,0,0,0,0,0,6,2007,"WD","Normal",129900,11.7745202026587,11.7745202026587
"25","20","RL",70.0499583680267,8246,"None","IR1","Inside","Sawyer","Norm","1Story",5,8,1968,"Gable","Plywood","None",0,"TA","Mn","Rec",188,204,1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"Typ",1,"TA","Attchd","Unf",1,"TA","TA",406,90,0,0,0,0,0,5,2010,"WD","Normal",154000,11.9447078813958,11.9447078813958
"26","20","RL",110,14230,"None","Reg","Corner","NridgHt","Norm","1Story",8,5,2007,"Gable","VinylSd","Stone",640,"Gd","No","Unf",0,1566,1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,"TA","TA",0,56,0,0,0,0,0,7,2009,"WD","Normal",256300,12.4541039123522,12.4541039123522
"27","20","RL",60,7200,"None","Reg","Corner","NAmes","Norm","1Story",5,7,1951,"Gable","Wd Sdng","None",0,"TA","Mn","BLQ",234,180,900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,"None","Detchd","Unf",2,"TA","TA",222,32,0,0,0,0,0,5,2010,"WD","Normal",134800,11.8115474774603,11.8115474774603
"28","20","RL",98,11478,"None","Reg","Inside","NridgHt","Norm","1Story",8,5,2007,"Gable","VinylSd","Stone",200,"Ex","No","GLQ",1218,486,1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,"TA","TA",0,50,0,0,0,0,0,5,2010,"WD","Normal",306000,12.6313403809345,12.6313403809345
"29","20","RL",47,16321,"None","IR1","CulDSac","NAmes","Norm","1Story",5,6,1957,"Gable","MetalSd","None",0,"TA","Gd","BLQ",1277,207,1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd","RFn",1,"TA","TA",288,258,0,0,0,0,0,12,2006,"WD","Normal",207500,12.2428866186529,12.2428866186529
"30","30","RM",60,6324,"None","IR1","Inside","BrkSide","Feedr","1Story",4,6,1927,"Gable","MetalSd","None",0,"TA","No","Unf",0,520,520,0,0,520,0,0,1,0,1,1,"Other",4,"Typ",0,"None","Detchd","Unf",1,"Other","TA",49,0,87,0,0,0,0,5,2008,"WD","Normal",68500,11.1345890242503,11.1345890242503
"31","70","Other",50,8500,"Pave","Reg","Inside","IDOTRR","Feedr","2Story",4,4,1920,"Other","BrkFace","None",0,"TA","No","Unf",0,649,649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,"None","Detchd","Unf",1,"TA","Fa",0,54,172,0,0,0,0,7,2008,"WD","Normal",40000,10.5966347330961,10.5966347330961
"32","20","RL",70.0499583680267,8544,"None","IR1","CulDSac","Sawyer","Norm","1Story",5,6,1966,"Gable","HdBoard","None",0,"TA","No","Unf",0,1228,1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,"None","Attchd","Unf",1,"TA","TA",0,65,0,0,0,0,0,6,2008,"WD","Normal",149350,11.9140478236443,11.9140478236443
"33","20","RL",85,11049,"None","Reg","Corner","CollgCr","Norm","1Story",8,5,2007,"Gable","VinylSd","None",0,"Ex","Av","Unf",0,1234,1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA",0,30,0,0,0,0,0,1,2008,"WD","Normal",179900,12.1001564199386,12.1001564199386
"34","20","RL",70,10552,"None","IR1","Inside","NAmes","Norm","1Story",5,5,1959,"Hip","BrkFace","None",0,"TA","No","Rec",1018,380,1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA",0,38,0,0,0,0,0,4,2010,"WD","Normal",165500,12.0167264737993,12.0167264737993
"35","120","RL",60,7313,"None","Reg","Inside","NridgHt","Norm","1Story",9,5,2005,"Hip","MetalSd","BrkFace",246,"Ex","No","GLQ",1153,408,1561,0,0,1561,1,0,2,0,2,1,"Other",6,"Typ",1,"Gd","Attchd","Fin",2,"TA","TA",203,47,0,0,0,0,0,8,2007,"WD","Normal",277500,12.5335762121686,12.5335762121686
"36","60","RL",108,13418,"None","Reg","Inside","NridgHt","Norm","2Story",8,5,2004,"Gable","VinylSd","Stone",132,"Ex","Av","Unf",0,1117,1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn","Fin",3,"TA","TA",113,32,0,0,0,0,0,9,2006,"WD","Normal",309000,12.6410965558799,12.6410965558799
"37","20","RL",112,10859,"None","Reg","Corner","CollgCr","Norm","1Story",5,5,1994,"Gable","VinylSd","None",0,"Gd","No","Unf",0,1097,1097,0,0,1097,0,0,1,1,3,1,"TA",6,"Typ",0,"None","Attchd","Unf",2,"TA","TA",392,64,0,0,0,0,0,6,2009,"WD","Normal",145000,11.8844890214027,11.8844890214027
"38","20","RL",74,8532,"None","Reg","Inside","NAmes","Norm","1Story",5,6,1954,"Hip","Wd Sdng","BrkFace",650,"TA","No","Rec",1213,84,1297,0,0,1297,0,1,1,0,3,1,"TA",5,"Typ",1,"TA","Attchd","Fin",2,"TA","TA",0,0,0,0,0,0,0,10,2009,"WD","Normal",153000,11.9381932003746,11.9381932003746
"39","20","RL",68,7922,"None","Reg","Inside","NAmes","Norm","1Story",5,7,1953,"Gable","VinylSd","None",0,"TA","No","GLQ",731,326,1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA",0,52,0,0,0,0,0,1,2010,"WD","Abnorml",109000,11.5991031612113,11.5991031612113
"40","90","RL",65,6040,"None","Reg","Inside","Edwards","Norm","1Story",4,5,1955,"Gable","Other","None",0,"None","None","None",0,0,1152,0,0,1152,0,0,2,0,2,2,"Other",6,"Typ",0,"None","None","None",0,"None","None",0,0,0,0,0,0,0,6,2008,"WD","Other",82000,11.3144745262464,11.3144745262464
"41","20","RL",84,8658,"None","Reg","Inside","NAmes","Norm","1Story",6,5,1965,"Gable","Wd Sdng","BrkFace",101,"TA","No","Rec",643,445,1324,0,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd","RFn",2,"TA","TA",0,138,0,0,0,0,0,12,2006,"WD","Abnorml",160000,11.982929094216,11.982929094216
"42","20","RL",115,16905,"None","Reg","Inside","Timber","Norm","1Story",5,6,1959,"Gable","VinylSd","None",0,"TA","Gd","BLQ",967,383,1328,0,0,1328,0,1,1,1,2,1,"TA",5,"Typ",2,"Gd","Attchd","RFn",1,"TA","TA",0,104,0,0,0,0,0,7,2007,"WD","Normal",170000,12.0435537160324,12.0435537160324
"43","Other","RL",70.0499583680267,9180,"None","IR1","CulDSac","SawyerW","Norm","SFoyer",5,7,1983,"Gable","HdBoard","None",0,"Gd","Av","ALQ",747,0,884,0,0,884,1,0,1,0,2,1,"Gd",5,"Typ",0,"None","Attchd","RFn",2,"TA","Gd",240,0,0,0,0,0,0,12,2007,"WD","Normal",144000,11.8775685785581,11.8775685785581
"44","20","RL",70.0499583680267,9200,"None","IR1","CulDSac","CollgCr","Norm","1Story",5,6,1975,"Hip","VinylSd","None",0,"Gd","Av","LwQ",280,167,938,0,0,938,1,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA",145,0,0,0,0,0,0,7,2008,"WD","Normal",130250,11.7772109596156,11.7772109596156
"45","20","RL",70,7945,"None","Reg","Inside","NAmes","Norm","1Story",5,6,1959,"Gable","BrkFace","None",0,"TA","No","ALQ",179,465,1150,0,0,1150,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd","RFn",1,"TA","TA",0,0,0,0,0,0,0,5,2006,"WD","Normal",141000,11.8565151693603,11.8565151693603
"46","120","RL",61,7658,"None","Reg","Inside","NridgHt","Norm","1Story",9,5,2005,"Hip","MetalSd","BrkFace",412,"Ex","No","GLQ",456,1296,1752,0,0,1752,1,0,2,0,2,1,"Other",6,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA",196,82,0,0,0,0,0,2,2010,"WD","Normal",319900,12.6757637259376,12.6757637259376
"47","50","RL",48,12822,"None","IR1","CulDSac","Mitchel","Norm","1.5Fin",7,5,2003,"Gable","VinylSd","None",0,"Ex","No","GLQ",1351,83,1518,631,0,2149,1,0,1,1,1,1,"Gd",6,"Typ",1,"Other","Attchd","RFn",2,"TA","TA",168,43,0,0,198,0,0,8,2009,"WD","Abnorml",239686,12.3870850123755,12.3870850123755
"48","20","Other",84,11096,"None","Reg","Inside","Somerst","Norm","1Story",8,5,2006,"Gable","VinylSd","None",0,"Gd","Av","GLQ",24,1632,1656,0,0,1656,0,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd","RFn",3,"TA","TA",0,146,0,0,0,0,0,7,2007,"WD","Normal",249700,12.4280154762679,12.4280154762679
"49","190","RM",33,4456,"None","Reg","Inside","OldTown","Norm","2Story",4,5,1920,"Gable","MetalSd","None",0,"TA","No","Unf",0,736,736,716,0,1452,0,0,2,0,2,3,"TA",8,"Typ",0,"None","None","None",0,"None","None",0,0,102,0,0,0,0,6,2009,"New","Partial",113000,11.6351430976945,11.6351430976945
"50","20","RL",66,7742,"None","Reg","Inside","Sawyer","Norm","1Story",5,7,1966,"Gable","HdBoard","None",0,"TA","No","BLQ",763,192,955,0,0,955,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd","Unf",1,"TA","TA",0,0,0,0,0,0,0,1,2007,"WD","Normal",127000,11.7519423654407,11.7519423654407
"51","60","RL",70.0499583680267,13869,"None","IR2","Corner","Gilbert","Norm","2Story",6,6,1997,"Gable","VinylSd","None",0,"Gd","Av","GLQ",182,612,794,676,0,1470,0,1,2,0,3,1,"TA",6,"Typ",0,"None","Attchd","Fin",2,"TA","TA",0,75,0,0,0,0,0,7,2007,"WD","Normal",177000,12.083905011556,12.083905011556
"52","50","RM",52,6240,"None","Reg","Inside","BrkSide","Norm","1.5Fin",6,6,1934,"Gable","Wd Sdng","None",0,"TA","No","Unf",0,816,816,0,360,1176,0,0,1,0,3,1,"TA",6,"Typ",1,"Gd","Detchd","Unf",2,"TA","TA",112,0,0,0,0,0,400,9,2006,"WD","Normal",114500,11.6483301019764,11.6483301019764
"53","90","RM",110,8472,"None","IR2","Corner","IDOTRR","RRNn","1Story",5,5,1963,"Gable","Wd Sdng","None",0,"Gd","Gd","LwQ",104,0,816,0,0,816,1,0,1,0,2,1,"TA",5,"Typ",0,"None","Other","Unf",2,"TA","TA",106,0,0,0,0,0,0,5,2010,"WD","Normal",110000,11.6082356447746,11.6082356447746
"54","20","RL",68,50271,"None","IR1","Inside","Other","Norm","1Story",9,5,1981,"Gable","Other","None",0,"Ex","Gd","GLQ",1810,32,1842,0,0,1842,2,0,0,1,0,1,"Gd",5,"Typ",1,"Gd","Attchd","Fin",3,"TA","TA",857,72,0,0,0,0,0,11,2006,"WD","Normal",385000,12.8609986132699,12.8609986132699
"55","80","RL",60,7134,"None","Reg","Inside","NAmes","Norm","SLvl",5,5,1955,"Gable","MetalSd","None",0,"TA","No","ALQ",384,0,1360,0,0,1360,0,0,1,0,3,1,"TA",6,"Min1",1,"TA","Detchd","Unf",2,"TA","TA",0,50,0,0,0,0,0,2,2007,"WD","Normal",130000,11.7752897294377,11.7752897294377
"56","20","RL",100,10175,"None","IR1","Inside","NAmes","Norm","1Story",6,5,1964,"Gable","HdBoard","BrkFace",272,"TA","No","BLQ",490,935,1425,0,0,1425,0,0,2,0,3,1,"TA",7,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA",0,0,0,407,0,0,0,7,2008,"WD","Normal",180500,12.1034860567551,12.1034860567551
"57","160","Other",24,2645,"Pave","Reg","Inside","Somerst","Norm","2Story",8,5,1999,"Gable","MetalSd","BrkFace",456,"Gd","No","GLQ",649,321,983,756,0,1739,1,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd","Fin",2,"TA","TA",115,0,0,0,0,0,0,8,2009,"WD","Abnorml",172500,12.0581525154536,12.0581525154536
"58","60","RL",89,11645,"None","IR1","Corner","CollgCr","Norm","2Story",7,5,2004,"Gable","VinylSd","None",0,"Gd","No","Unf",0,860,860,860,0,1720,0,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA",0,70,0,0,0,0,0,8,2006,"WD","Normal",196500,12.1884177102915,12.1884177102915
"59","60","RL",66,13682,"None","IR2","CulDSac","Other","Norm","2Story",10,5,2006,"Hip","VinylSd","BrkFace",1031,"Ex","Gd","Unf",0,1410,1426,1519,0,2945,0,0,3,1,3,1,"Gd",10,"Typ",1,"Gd","BuiltIn","Fin",3,"TA","TA",192,0,37,0,0,0,0,10,2006,"New","Partial",438780,12.9917534274931,12.9917534274931
"60","20","RL",60,7200,"None","Reg","Inside","CollgCr","Norm","1Story",5,7,1972,"Gable","HdBoard","None",0,"TA","Av","ALQ",632,148,780,0,0,780,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd","Unf",1,"TA","TA",196,0,0,0,0,0,0,1,2008,"WD","Normal",124900,11.7352686961137,11.7352686961137
"61","20","RL",63,13072,"None","Reg","Inside","SawyerW","RRAe","1Story",6,5,2004,"Gable","VinylSd","None",0,"Gd","No","ALQ",941,217,1158,0,0,1158,1,0,1,1,3,1,"Gd",5,"Typ",0,"None","Detchd","Unf",2,"TA","TA",0,50,0,0,0,0,0,5,2006,"New","Partial",158000,11.9703503120091,11.9703503120091
"62","Other","RM",60,7200,"None","Reg","Inside","IDOTRR","Norm","Other",5,7,1920,"Gable","MetalSd","None",0,"TA","No","Unf",0,530,581,530,0,1111,0,0,1,0,3,1,"Other",6,"Typ",0,"None","Detchd","Unf",1,"TA","TA",0,0,144,0,0,0,0,3,2007,"WD","Normal",101000,11.5228757958234,11.5228757958234
"63","120","RL",44,6442,"None","IR1","Inside","NridgHt","Norm","1Story",8,5,2006,"Gable","VinylSd","Stone",178,"Gd","Mn","GLQ",24,1346,1370,0,0,1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA",120,49,0,0,0,0,0,10,2007,"WD","Normal",202500,12.2184951655287,12.2184951655287
"64","70","RM",50,10300,"None","IR1","Inside","OldTown","RRAn","2Story",7,6,1921,"Gable","Other","None",0,"TA","No","Unf",0,576,902,808,0,1710,0,0,2,0,3,1,"TA",9,"Typ",0,"None","Detchd","Unf",2,"TA","TA",12,11,64,0,0,0,0,4,2010,"WD","Normal",140000,11.8493977015914,11.8493977015914
"65","60","RL",70.0499583680267,9375,"None","Reg","Inside","CollgCr","Norm","2Story",7,5,1997,"Gable","VinylSd","BrkFace",573,"Gd","No","GLQ",739,318,1057,977,0,2034,1,0,2,1,3,1,"Gd",8,"Typ",0,"None","Attchd","RFn",2,"TA","TA",576,36,0,0,0,0,0,2,2009,"WD","Normal",219500,12.2991075114974,12.2991075114974
"66","60","RL",76,9591,"None","Reg","Inside","NridgHt","Norm","2Story",8,5,2004,"Gable","VinylSd","BrkFace",344,"Ex","Av","Unf",0,1143,1143,1330,0,2473,0,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn","RFn",3,"TA","TA",192,151,0,0,0,0,0,10,2007,"WD","Normal",317000,12.6666570528594,12.6666570528594
"67","20","RL",70.0499583680267,19900,"None","Reg","Inside","NAmes","PosA","1Story",7,5,1970,"Gable","Plywood","BrkFace",287,"Gd","Gd","GLQ",912,1035,2207,0,0,2207,1,0,2,0,3,1,"TA",7,"Min1",1,"Gd","Attchd","RFn",2,"TA","TA",301,0,0,0,0,0,0,7,2010,"WD","Normal",180000,12.1007121298723,12.1007121298723
"68","20","RL",72,10665,"None","IR1","Inside","CollgCr","Norm","1Story",7,5,2003,"Gable","VinylSd","BrkFace",167,"Gd","Av","GLQ",1013,440,1479,0,0,1479,1,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA",144,29,0,0,0,0,0,6,2007,"WD","Normal",226000,12.3282902782544,12.3282902782544
"69","30","RM",47,4608,"None","Reg","Corner","OldTown","Artery","1Story",4,6,1945,"Gable","MetalSd","None",0,"TA","No","Unf",0,747,747,0,0,747,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Attchd","Unf",1,"TA","TA",0,0,0,0,0,0,0,6,2010,"WD","Normal",80000,11.289781913656,11.289781913656
"70","50","RL",81,15593,"None","Reg","Corner","Other","Norm","1.5Fin",7,4,1953,"Gable","BrkFace","None",0,"TA","No","BLQ",603,701,1304,983,0,2287,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd","Fin",2,"TA","TA",0,21,114,0,0,0,0,7,2006,"WD","Normal",225000,12.3238556811866,12.3238556811866
"71","20","RL",95,13651,"None","IR1","Inside","NAmes","Norm","1Story",7,6,1973,"Gable","Plywood","BrkFace",1115,"Gd","Gd","ALQ",1880,343,2223,0,0,2223,1,0,2,0,3,1,"TA",8,"Typ",2,"Gd","Attchd","Fin",2,"TA","TA",300,0,0,0,0,0,0,2,2007,"WD","Normal",244000,12.4049235042753,12.4049235042753
"72","20","RL",69,7599,"None","Reg","Corner","Mitchel","Norm","1Story",4,6,1982,"Gable","HdBoard","None",0,"TA","No","ALQ",565,280,845,0,0,845,1,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd","Unf",2,"TA","TA",0,0,0,0,0,0,0,6,2007,"WD","Normal",129500,11.7714361601217,11.7714361601217
