"","X","ParcelId","Address","SalePrice","SaleDate","SaleCondition","AssessedValue","ParcelType","YearBuilt","GrLivArea","BsmtFinSF1","LotArea","Bedrooms","CentralAir","Fireplaces","Occupancy","Style","Neighborhood","InstrumentNo","Error.YearBuilt","Error.LotArea","Error.GrLivArea","Error.Neighborhood","Error.Score"
"55",3022,535325280,1617 DOUGLAS AVE,156500,5/1/2014 0:00,Normal,145300,Dwg&Lot,1955,1360,384,7134,3,Yes,1,Single-family detached (includes detached townhouses),Split level,NAmes,201403559,-1.91910973595306,-0.54415210982421,-1.19104508591001,0.366437186804748,-3.28786974488253
"56",4403,534251300,2103 NORTHWESTERN AVE,90500,1/1/1992 0:00,Normal,163200,Dwg&Lot,1964,1426,845,9790,2,Yes,1,Single-family detached (includes detached townhouses),One story,NWAmes,289-350,-1.8304157799464,-0.557761398603562,-1.2539805097644,0.366437186804748,-3.27572050150962
"57",10791,533236050,2510 BRISTOL DR,225000,6/1/2016 0:00,Normal,248900,Dwg&Lot,1999,1739,649,2645,3,Yes,0,Townhouse:  inner unit,Two story,Somerst,201606072,-0.927731443476466,-0.607350081585351,-1.57228277404157,0.154682497497796,-2.9526818016056
"58",13724,907412010,4919 WALLER ST,224000,5/1/2015 0:00,Normal,204000,Dwg&Lot,2004,1720,0,11645,3,Yes,0,Single-family detached (includes detached townhouses),Two story,CollgCr,201504382,-0.938313875774836,-0.692928641701931,-1.55289476258299,0.207655062197157,-2.9764822178626
"59",14918,527216050,4117 LAURA CT,438780,10/1/2006 0:00,Partial,468400,Dwg&Lot,2006,2945,0,13682,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Stonebr,613551,-0.97546921316367,-0.870676033199591,-3.03978558165909,1,-3.88593082802235
"60",6380,907227300,307 ROCKWELL AVE,133500,3/1/2016 0:00,Normal,125700,Dwg&Lot,1972,780,632,7200,2,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,201603007,-1.71390354011998,-0.54387394669489,-1.1378092072031,0.207655062197157,-3.18793163182081
"61",13642,531375100,5321 KANSAS DR,165000,6/1/2013 0:00,Normal,174700,Dwg&Lot,2004,1158,941,13072,3,Yes,0,Single-family detached (includes detached townhouses),One story,SawyerW,201307725,-0.938313875774836,-0.813112633065614,-1.04035161218302,0.169520157082113,-2.62225796394136
"62",1256,903458020,1124 N 2ND ST,100000,6/1/2012 0:00,Normal,120600,Dwg&Lot,1920,1111,0,7200,3,Yes,0,Single-family detached (includes detached townhouses),Two and one-half story:  3rd level unfinished,IDOTRR,201207371,-2.26264171112129,-0.54387394669489,-1.02017219726808,0.155484591703785,-3.67120326338047
"63",14958,528181080,2902 ROXBORO DR,202500,10/1/2007 0:00,Normal,198800,Dwg&Lot,2006,1370,24,6442,2,Yes,1,Townhouse:  end unit,One story,NridgHt,713633,-0.97546921316367,-0.548456539343703,-1.20109210692173,0.142593315048047,-2.58242454438105
"64",1185,903425110,721 NORTHWESTERN AVE,140000,4/1/2010 0:00,Normal,154300,Dwg&Lot,1921,1710,0,10300,3,Yes,0,Single-family detached (includes detached townhouses),Two story,OldTown,201512304,-2.24982732756624,-0.606294784005444,-1.5428569292228,0.246117602940319,-4.15286143785416
"65",10594,528294090,2229 WINDFIELD DR,256000,4/1/2016 0:00,Normal,235800,Dwg&Lot,1999,2035,0,9420,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Gilbert,201603593,-0.871660027919675,-0.563801938759839,-1.87434244118275,0.207655062197157,-3.10214934566511
"66",13481,528120150,3115 BECKLEY ST,317000,10/1/2007 0:00,Normal,343400,Dwg&Lot,2004,2473,950,9591,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NridgHt,711914,-0.938313875774836,-0.575616058724259,-2.38606341768148,0.142593315048047,-3.75740003713253
"67",5477,535125010,2735 DUFF AVE,200226,7/1/2010 0:00,Abnorml,309000,Dwg&Lot,1970,2207,912,19900,3,Yes,1,Single-family detached (includes detached townhouses),One story,NAmes,201006834,-1.75225134417023,-1.56685687204746,-2.07019144060001,0.366437186804748,-5.02286247001295
"68",13080,907192120,5421 CLEMENS BLVD,226000,6/1/2007 0:00,Normal,235600,Dwg&Lot,2003,1479,1013,10665,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,706976,-0.927969431336756,-0.626523610302507,-1.31107893766707,0.207655062197157,-2.65791691710917
"69",2335,902125160,1230 BURNETT AVE,80000,6/1/2010 0:00,Normal,81300,Dwg&Lot,1945,747,0,4608,2,Yes,0,Single-family detached (includes detached townhouses),One story,OldTown,1005785,-2.05542026049401,-0.567960335608883,-1.16993242262222,0.246117602940319,-3.5471954157848
"70",3171,905225080,3301 ROSS RD,225000,7/1/2006 0:00,Normal,243200,Dwg&Lot,1953,2287,603,15593,3,Yes,1,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,ClearCr,201404454,-1.94877183141594,-1.0673247412783,-2.16171101861313,1,-4.17780759130736
"71",5876,526355170,2820 NORTHWOOD DR,244000,2/1/2007 0:00,Normal,327000,Dwg&Lot,1973,2223,1880,13651,3,Yes,2,Single-family detached (includes detached townhouses),One story,NAmes,201502775,-1.69193638044433,-0.867677847782292,-2.08849182944184,0.366437186804748,-4.28166887086372
"72",7417,923252080,3905 MINNETONKA AVE,124422,4/1/2016 0:00,Abnorml,128600,Dwg&Lot,1982,845,565,7599,2,Yes,0,Single-family detached (includes detached townhouses),One story,Mitchel,201602966,-1.41682434726767,-0.543634202593634,-1.08132783894743,0.179445972994858,-2.86234041581388
"73",9652,527162110,3806 BERKSHIRE AVE,185000,12/1/2009 0:00,Normal,228400,Dwg&Lot,1998,1718,0,10141,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Gilbert,201501390,-0.937454750906048,-0.598443305316997,-1.55088085047915,0.169705196858899,-2.9170737098433
"74",3043,535350030,618 16TH ST,144900,5/1/2010 0:00,Normal,160200,Dwg&Lot,1954,1086,682,10200,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,1004445,-1.93356965042571,-0.601280566984257,-1.01334846571517,0.366437186804748,-3.18176149632039
"75",400,902125080,1203 KELLOGG AVE,139000,8/1/2015 0:00,Family,111500,Dwg&Lot,1915,1605,0,5790,3,No,0,Single-family detached (includes detached townhouses),Two story,OldTown,201508101,-2.36064595073656,-0.554217511693212,-1.43757628670558,0.246117602940319,-4.10632214619504
"76",6453,923225360,548 MEADOW CT,110000,5/1/2013 0:00,Normal,96700,Dwg&Lot,1973,988,462,1596,2,Yes,0,Townhouse:  inner unit,Split level,MeadowV,201306207,-1.69193638044433,-0.65738285479762,-1.01208472236703,1,-2.36140395760899
"77",3501,534277070,2119 FURMAN DR,135750,4/1/2008 0:00,Normal,132300,Dwg&Lot,1956,952,228,8475,2,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,804620,-1.90642506554443,-0.549330773400676,-1.02291669440436,0.366437186804748,-3.11223534654472
"78",2443,903236010,808 10TH ST,127000,1/1/2008 0:00,Normal,149200,Dwg&Lot,1948,1285,377,8635,2,Yes,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,BrkSide,800813,-2.01676428201765,-0.551631476245655,-1.12148206247514,0.162349867976044,-3.52752795276241
"79",5562,905101310,3905 QUEBEC ST,140000,7/1/2013 0:00,Normal,136500,Dwg&Lot,1968,1768,0,10778,4,No,0,Duplex,One story,Sawyer,201308092,-1.7823449330963,-0.633218296248425,-1.60210548709296,0.184833613260601,-3.83283510317708
"80",362,902102080,1203 BURNETT AVE,125000,12/1/2015 0:00,Normal,120700,Dwg&Lot,1910,1230,0,10440,2,Yes,0,Single-family detached (includes detached townhouses),Two story,OldTown,201511927,-2.47450334328682,-0.613680680520384,-1.0799881504525,0.246117602940319,-3.92205457131938
"81",5484,535126010,2529 NORTHWOOD DR,193500,6/1/2009 0:00,Normal,235000,Dwg&Lot,1968,2142,448,13000,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NAmes,906776,-1.7823449330963,-0.806537606070763,-1.99592863194102,0.366437186804748,-4.21837398430334
"82",10503,923203100,3320 EMERALD DR,153500,3/1/2006 0:00,Normal,213200,Dwg&Lot,1998,1337,1201,4500,2,Yes,0,Townhouse:  end unit,One story,Mitchel,603915,-0.937454750906048,-0.569351572695398,-1.16893634455465,0.179445972994858,-2.49629669516124
"83",15577,528431060,2515 DALTON ST,245000,10/1/2008 0:00,Normal,272800,Dwg&Lot,2007,1563,1125,10206,3,Yes,1,Single-family detached (includes detached townhouses),One story,Somerst,201509176,-0.998847725697867,-0.601576093663511,-1.39541684074519,0.154682497497796,-2.84115816260878
"84",3459,534275220,2022 HUNZIKER DR,165000,4/1/2016 0:00,Normal,139400,Dwg&Lot,1960,1065,0,8892,3,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,201605193,-1.86597052285271,-0.556291202883076,-1.00948788613835,0.366437186804748,-3.06531242506939
"85",8820,527110020,1909 WYNGATE DR,168500,5/1/2009 0:00,Normal,183300,Dwg&Lot,1995,1474,0,8530,3,Yes,1,Single-family detached (includes detached townhouses),Split level,Gilbert,906275,-0.989320942301613,-0.550087724136556,-1.3060985117363,0.169705196858899,-2.67580198131557
"86",8451,533110130,2503 RIDGETOP RD,260000,4/1/2006 0:00,Normal,296500,Dwg&Lot,1991,2417,0,16059,4,Yes,1,Single-family detached (includes detached townhouses),Two story,NoRidge,604187,-1.09444453243052,-1.11828649965184,-2.31694826172121,0.157473634560831,-4.37220565924274
"87",14457,528221070,4204 CRESTMOOR AVE,232500,3/1/2016 0:00,Normal,222100,Dwg&Lot,2005,1560,620,11911,3,Yes,1,Single-family detached (includes detached townhouses),Two story,Gilbert,201602343,-0.955077842897414,-0.713413100519652,-1.39238407818416,0.169705196858899,-2.89116982474232
"88",15898,533210010,2716 NORTHRIDGE PKY,182000,4/1/2015 0:00,Normal,168400,Dwg&Lot,2009,1224,0,3951,2,Yes,0,Townhouse:  end unit,Two story,Somerst,201503294,-1.05017930201753,-0.57694738300666,-1.0761536524281,0.154682497497796,-2.54859783995449
"89",548,903426190,803 HODGE AVE,0,,Normal,157700,Dwg&Lot,1914,1512,0,8094,3,Yes,0,Single-family detached (includes detached townhouses),One and one-half story:  2nd level finished,OldTown,210-172,-2.32412815428368,-0.508191398367461,-1.3199823359063,0.155484591703785,-3.99681729685366
"90",9235,907135180,5445 FROST DR,165000,5/1/2014 0:00,Normal,145900,Dwg&Lot,1994,990,588,8070,3,Yes,0,Single-family detached (includes detached townhouses),One story,CollgCr,201404388,-1.01185072368496,-0.545320581223819,-1.01168179025194,0.207655062197157,-2.36119803296356
"91",2286,535451180,1416 CARROLL AVE,0,,Normal,81500,Dwg&Lot,1950,1040,0,7200,2,No,0,Duplex,One story,NAmes,606131,-1.98903647350684,-0.54387394669489,-1.00761760771095,0.366437186804748,-3.17409084110793
"92",4635,535105160,435 25TH ST,98600,12/1/2006 0:00,Abnorml,132600,Dwg&Lot,1961,1235,600,8500,2,Yes,0,Single-family detached (includes detached townhouses),One story,NAmes,614918,-1.85796191892127,-0.549670154892992,-1.08326353403304,0.366437186804748,-3.12445842104255
"93",1512,909277100,2011 KILDEE ST,163500,8/1/2009 0:00,Normal,202800,Dwg&Lot,1921,964,713,13360,2,Yes,0,Single-family detached (includes detached townhouses),One story,Crawfor,910031,-2.24982732756624,-0.839941671928284,-1.01884512163974,0.153472234444765,-3.9551418866895
"94",469,902332030,621 DOUGLAS AVE 101,120100,9/1/2014 0:00,Abnorml,147200,Dwg&Lot,1910,2291,0,7200,4,No,1,Two-family conversion; originally built as one-family dwelling,Two and one-half story:  3rd level unfinished,OldTown,201407925,-2.47450334328682,-0.54387394669489,-2.16638890956043,0.246117602940319,-4.93864859660182
"95",9981,907180040,5322 THACKERAY DR,267000,7/1/2015 0:00,Normal,223500,Dwg&Lot,1997,1786,648,9337,3,Yes,0,Single-family detached (includes detached townhouses),Two story,CollgCr,201507569,-0.951837162075132,-0.567598348818335,-1.6204944734998,0.207655062197157,-2.93227492219611
